domain,vt,ip,country,brand,scam_type,reported,days_ignored,spamhaus,vt_url,urlscan_url,screenshot
anonymixer1.com,9/91,172.67.168.41,US,Ethereum,Crypto Scam,2026-01-04,213,,https://www.virustotal.com/gui/domain/anonymixer1.com/detection,https://urlscan.io/result/019b8990-11d5-7328-9c52-9333105b3d2c/,https://urlscan.io/screenshots/019b8990-11d5-7328-9c52-9333105b3d2c.png
icebet.cc,13/91,69.5.189.55,CH,cryptoscam,Crypto Scam,2026-01-04,213,,https://www.virustotal.com/gui/domain/icebet.cc/detection,https://urlscan.io/result/019b8b6b-961c-77df-a361-d19e3ff224c4/,https://urlscan.io/screenshots/019b8b6b-961c-77df-a361-d19e3ff224c4.png
sign-audius.com,6/91,91.202.233.173,RU,,Credential Phishing,2026-01-04,213,DBL_BOTNET,https://www.virustotal.com/gui/domain/sign-audius.com/detection,https://urlscan.io/result/019b8973-974a-706f-8de8-1b57ae927676/,https://i.ibb.co/ynT0SQMG/0e970e439ba6.png
superex-login.com,5/91,95.129.234.137,RU,,Crypto Scam,2026-01-05,212,,https://www.virustotal.com/gui/domain/superex-login.com/detection,https://urlscan.io/result/019b8ced-1dce-750b-a156-ed93de77161c/,https://urlscan.io/screenshots/019b8ced-1dce-750b-a156-ed93de77161c.png
www.cex-io-login.com,16/93,45.10.243.7,RU,Apple,Tech Support Scam,2026-01-05,212,,https://www.virustotal.com/gui/domain/www.cex-io-login.com/detection,https://urlscan.io/result/019b8cf3-6518-735a-9938-c74e227d1227/,https://urlscan.io/screenshots/019b8cf3-6518-735a-9938-c74e227d1227.png
www.mgbx-auth.com,6/93,186.2.175.29,BZ,across,Crypto Scam,2026-01-05,212,DBL_PHISH,https://www.virustotal.com/gui/domain/www.mgbx-auth.com/detection,https://urlscan.io/result/019b8ce7-a20d-7626-b4b1-3e9b557f86e7/,https://urlscan.io/screenshots/019b8ce7-a20d-7626-b4b1-3e9b557f86e7.png
www.mgbx-user.com,3/93,186.2.175.29,BZ,argent,Credential Phishing,2026-01-05,212,DBL_PHISH,https://www.virustotal.com/gui/domain/www.mgbx-user.com/detection,https://urlscan.io/result/019b8cf3-66d2-72ae-96e5-7166d49660be/,https://urlscan.io/screenshots/019b8cf3-66d2-72ae-96e5-7166d49660be.png
1game.online,13/91,69.5.189.57,CH,cryptoscam,Crypto Scam,2026-01-05,212,,https://www.virustotal.com/gui/domain/1game.online/detection,https://urlscan.io/result/019a9274-1cc8-735d-bf14-15d56059bc45/,https://urlscan.io/screenshots/019a9274-1cc8-735d-bf14-15d56059bc45.png
krab1at.com,10/91,172.67.147.11,US,,,2026-01-05,212,DBL_PHISH,https://www.virustotal.com/gui/domain/krab1at.com/detection,https://urlscan.io/result/019b8e83-aff1-713b-a765-905e37fbec03/,https://urlscan.io/screenshots/019b8e83-aff1-713b-a765-905e37fbec03.png
kuznec24.cc,5/91,193.108.130.103,NL,,,2026-01-05,212,,https://www.virustotal.com/gui/domain/kuznec24.cc/detection,https://urlscan.io/result/019b8e89-c446-71c1-9b3d-ba962cfe8ab5/,https://urlscan.io/screenshots/019b8e89-c446-71c1-9b3d-ba962cfe8ab5.png
